PROBEID	ENTREZID	SYMBOL
1416456_a_at	81600	Chia1
1416457_at	51793	Ddah2
1416458_at	11841	Arf2
1416459_at	11841	Arf2
1416460_at	56727	Miox
1416461_at	53872	Caprin1
1416462_at	53872	Caprin1
1416463_at	53872	Caprin1
1416464_at	20533	Slc4a1
1416465_a_at	30960	Vapa
1416466_at	30960	Vapa
1416467_at	13205	Ddx3x
1416468_at	11668	Aldh1a1
1416469_at	269593	Luzp1
1416470_a_at	103963	Rpn1
1416471_at	99712	Cept1
1416472_at	67043	Syap1
1416473_a_at	56741	Igdcc4
1416474_at	56741	Igdcc4
1416475_at	56550	Ube2d2a
1416476_a_at	56550	Ube2d2a
1416477_at	56550	Ube2d2a
1416478_a_at	17448	Mdh2
1416479_a_at	66154	Tmem14c
1416480_a_at	56295	Higd1a
1416481_s_at	56295	Higd1a
1416482_at	22129	Ttc3
1416483_at	22129	Ttc3
1416484_at	22129	Ttc3
1416485_at	53600	Timm23
1416486_at	13722	Aimp1
1416487_a_at	22601	Yap1
1416488_at	12452	Ccng2
1416489_at	67073	Pi4k2b
1416490_at	66269	Tmed6
1416491_at	18223	Numbl
1416492_at	12447	Ccne1
1416493_at	13200	Ddost
1416494_at	595136	Ndufs5
1416495_s_at	170658|595136	BC002163|Ndufs5
1416496_at	67568	Mrfap1
1416497_at	12304	Pdia4
1416498_at	19038	Ppic
1416499_a_at	22428	Dctn6
1416500_at	83493	Sacm1l
1416501_at	18607	Pdpk1
1416502_a_at	50907	Preb
1416503_at	17035	Lxn
1416504_at	22241	Ulk1
1416505_at	15370	Nr4a1
1416506_at	26443	Psma6
1416507_at	56530	Cnpy2
1416508_at	66999	Med28
1416509_at	107358	Tm9sf3
1416510_at	66163	Mrpl4
1416511_a_at	56699	Cdc42ep4
1416512_at	26426	Nubp2
1416513_at	16779	Lamb2
1416514_a_at	14086	Fscn1
1416515_at	14086	Fscn1
1416516_at	14086	Fscn1
1416517_at	50767	Pnpla6
1416518_at	171506	H1foo
1416519_at	100043718|54217	Gm4604|Rpl36
1416520_x_at	100043718|54217	Gm4604|Rpl36
1416521_at	20364	Sepw1
1416522_a_at	14790	Grcc10
1416523_at	19752	Rnase1
1416524_at	20747	Spop
1416525_at	20747	Spop
1416526_a_at	57320	Park7
1416527_at	67844	Rab32
1416528_at	73723	Sh3bgrl3
1416529_at	13730	Emp1
1416530_a_at	18950	Pnp
1416531_at	14873	Gsto1
1416532_at	100683	Trrap
1416533_at	112406	Egln2
1416534_at	19708	Dpf2
